CollectionTime,Value,ParameterName,UnitName,Location
2001-02-27 00:00:00,0.5,,ft,Cell1-LDS
2001-02-28 00:00:00,0.5,,ft,Cell1-LDS
2001-03-01 00:00:00,0.5,,ft,Cell1-LDS
2001-03-02 00:00:00,0.5,,ft,Cell1-LDS
2001-03-06 00:00:00,0.5,,ft,Cell1-LDS
2001-03-07 00:00:00,0.7,,ft,Cell1-LDS
1996-12-04 00:00:00,1.83,,ft,Cell1-LCS
1996-03-11 00:00:00,0.37,,ft,Cell1-LDS
2001-03-08 00:00:00,0.4,,ft,Cell1-LDS
2001-03-09 00:00:00,0.5,,ft,Cell1-LDS
2001-03-13 00:00:00,0.5,,ft,Cell1-LDS
2001-03-14 00:00:00,0.4,,ft,Cell1-LDS
2001-03-15 00:00:00,0.5,,ft,Cell1-LDS
2001-03-16 00:00:00,0.5,,ft,Cell1-LDS
2001-03-20 00:00:00,0.5,,ft,Cell1-LDS
2001-03-21 00:00:00,0.5,,ft,Cell1-LDS
2001-03-22 00:00:00,0.5,,ft,Cell1-LDS
2001-03-23 00:00:00,0.5,,ft,Cell1-LDS
1996-03-12 00:00:00,0.4,,ft,Cell1-LDS
2001-03-27 00:00:00,0.5,,ft,Cell1-LDS
2001-03-28 00:00:00,0.5,,ft,Cell1-LDS
2001-03-29 00:00:00,0.5,,ft,Cell1-LDS
2001-03-30 00:00:00,0.5,,ft,Cell1-LDS
2001-04-26 00:00:00,0.29,,ft,TRB-LDS
2001-05-01 00:00:00,0.14,,ft,TRB-LDS
2001-05-08 00:00:00,0.29,,ft,TRB-LDS
2001-05-16 00:00:00,0.14,,ft,TRB-LDS
2001-05-24 00:00:00,0.14,,ft,TRB-LDS
2001-05-29 00:00:00,0.29,,ft,TRB-LDS
1996-03-13 00:00:00,0.42,,ft,Cell1-LDS
2001-06-05 00:00:00,0.29,,ft,TRB-LDS
2001-06-12 00:00:00,0.29,,ft,TRB-LDS
2001-06-19 00:00:00,0.29,,ft,TRB-LDS
2001-06-29 00:00:00,0.29,,ft,TRB-LDS
2001-04-02 00:00:00,0.4,,ft,Cell2-LDS
2001-04-03 00:00:00,0.4,,ft,Cell2-LDS
2001-04-04 00:00:00,0.4,,ft,Cell2-LDS
2001-04-05 00:00:00,0.4,,ft,Cell2-LDS
2001-04-06 00:00:00,0.4,,ft,Cell2-LDS
2001-04-09 00:00:00,0.4,,ft,Cell2-LDS
1996-03-14 00:00:00,0.47,,ft,Cell1-LDS
2001-04-10 00:00:00,0.4,,ft,Cell2-LDS
2001-04-17 00:00:00,0.43,,ft,Cell2-LDS
2001-04-18 00:00:00,0.43,,ft,Cell2-LDS
2001-04-19 00:00:00,0.43,,ft,Cell2-LDS
2001-04-20 00:00:00,0.43,,ft,Cell2-LDS
2001-04-24 00:00:00,0.58,,ft,Cell2-LDS
2001-04-25 00:00:00,0.58,,ft,Cell2-LDS
2001-04-26 00:00:00,0.29,,ft,Cell2-LDS
2001-04-27 00:00:00,0.29,,ft,Cell2-LDS
2001-05-01 00:00:00,0.29,,ft,Cell2-LDS
1996-03-15 00:00:00,0.47,,ft,Cell1-LDS
2001-05-02 00:00:00,0.29,,ft,Cell2-LDS
2001-05-03 00:00:00,0.29,,ft,Cell2-LDS
2001-05-04 00:00:00,0.29,,ft,Cell2-LDS
2001-05-08 00:00:00,0.43,,ft,Cell2-LDS
2001-05-09 00:00:00,0.43,,ft,Cell2-LDS
2001-05-10 00:00:00,0.43,,ft,Cell2-LDS
2001-05-11 00:00:00,0.43,,ft,Cell2-LDS
2001-05-15 00:00:00,0.43,,ft,Cell2-LDS
2001-05-16 00:00:00,0.43,,ft,Cell2-LDS
2001-05-17 00:00:00,0.43,,ft,Cell2-LDS
1996-03-18 00:00:00,0.55,,ft,Cell1-LDS
2000-04-03 00:00:00,0.3,,ft,TRB-LDS
2000-04-10 00:00:00,0.3,,ft,TRB-LDS
2000-04-17 00:00:00,0.3,,ft,TRB-LDS
2000-04-20 00:00:00,0.3,,ft,TRB-LDS
2000-04-24 00:00:00,0.4,,ft,TRB-LDS
2000-05-01 00:00:00,0.8,,ft,TRB-LDS
2000-05-08 00:00:00,0.3,,ft,TRB-LDS
2000-05-09 00:00:00,0.3,,ft,TRB-LDS
2000-05-15 00:00:00,0.4,,ft,TRB-LDS
2000-05-18 00:00:00,0.4,,ft,TRB-LDS
1996-03-19 00:00:00,0.57,,ft,Cell1-LDS
2000-05-19 00:00:00,0.6,,ft,TRB-LDS
2000-05-24 00:00:00,0.3,,ft,TRB-LDS
2000-05-25 00:00:00,0.3,,ft,TRB-LDS
2000-05-26 00:00:00,0.4,,ft,TRB-LDS
2000-05-30 00:00:00,0.4,,ft,TRB-LDS
2000-06-06 00:00:00,0.4,,ft,TRB-LDS
